Borough,Zone,total_tip_amount
Manhattan,Midtown Center,535151.3000000095
Manhattan,Upper East Side North,502258.81000001
Queens,LaGuardia Airport,501779.4200000059
Manhattan,Times Sq/Theatre District,459307.6000000045
Manhattan,Midtown East,454753.83000000624
